epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.963394,1.06663,2.94869,1.26555,0.00799,0.86667,0.16409,0.11613,0.51943,3.09267,1.02299,6.668e-05,6.668e-05,6.668e-05
2,1.53318,0.99662,2.91895,1.27549,0.00743,0.75833,0.29167,0.21585,0.55353,3.08274,1.04016,0.000147059,0.000147059,0.000147059
3,2.08675,1.03828,2.81883,1.26799,0.00754,0.75833,0.52968,0.37072,0.58894,3.09188,1.07845,0.000224138,0.000224138,0.000224138
4,2.64432,0.98516,2.66665,1.20548,0.00745,0.75833,0.53566,0.4202,0.766,3.12695,1.20641,0.000297916,0.000297916,0.000297916
5,3.19836,1.02467,2.45217,1.19853,0.00726,0.75833,0.53591,0.39381,0.83317,3.13113,1.23319,0.000368394,0.000368394,0.000368394
6,3.74319,1.01324,2.36036,1.21115,0.00704,0.75833,0.52775,0.38638,0.81494,3.10432,1.247,0.00043557,0.00043557,0.00043557
7,4.31005,1.01912,2.15239,1.27538,0.00723,0.84167,0.51417,0.35983,0.91118,3.02139,1.32166,0.000499447,0.000499447,0.000499447
8,4.88444,1.00677,2.00625,1.2251,0.00684,0.7,0.41701,0.27817,1.01344,2.97649,1.35692,0.000560022,0.000560022,0.000560022
9,5.46249,1.05949,1.97904,1.31659,0.00692,0.7,0.41833,0.23138,1.07361,2.94119,1.4247,0.000617297,0.000617297,0.000617297
10,6.05009,1.16472,1.82568,1.33062,1,0.15306,0.42379,0.29568,0.93626,2.72498,1.3597,0.000671271,0.000671271,0.000671271
11,6.62401,1.09528,1.74814,1.29395,1,0.28016,0.44948,0.28616,1.06023,2.62749,1.47334,0.000721944,0.000721944,0.000721944
12,7.19526,1.25065,1.85619,1.33683,0.99979,0.325,0.42277,0.27309,1.20384,2.54105,1.57329,0.000769317,0.000769317,0.000769317
13,7.77998,1.17993,1.66697,1.32734,0.90611,0.25,0.36664,0.19781,1.37899,2.76437,1.64392,0.000813389,0.000813389,0.000813389
14,8.34709,1.12713,1.63788,1.333,0.90611,0.25,0.36664,0.19781,1.37899,2.76437,1.64392,0.000854161,0.000854161,0.000854161
