epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.968313,0.94905,2.9049,1.24585,0.01065,0.97826,0.22929,0.16542,0.48486,2.99157,0.98909,6.668e-05,6.668e-05,6.668e-05
2,1.61074,0.94449,2.93209,1.23769,0.01107,0.97826,0.34927,0.26785,0.52295,3.00318,1.0065,0.000147059,0.000147059,0.000147059
3,2.22855,0.86398,2.7402,1.21019,0.01048,0.92271,0.39917,0.30167,0.54944,3.01419,1.01985,0.000224138,0.000224138,0.000224138
4,2.8571,1.00134,2.6709,1.19653,0.01036,0.92271,0.37018,0.27057,0.68796,3.03288,1.0721,0.000297916,0.000297916,0.000297916
5,3.48145,0.94776,2.42766,1.16989,0.01012,0.92271,0.37743,0.26659,0.74285,3.01534,1.15555,0.000368394,0.000368394,0.000368394
6,4.09489,0.86185,2.24909,1.09329,0.01026,0.92271,0.39293,0.28233,0.77615,3.01051,1.22372,0.00043557,0.00043557,0.00043557
7,4.75581,0.97858,2.1607,1.22794,0.01011,0.90097,0.4065,0.26804,0.95256,3.04595,1.41365,0.000499447,0.000499447,0.000499447
8,5.41377,0.8958,1.95724,1.14883,0.00971,0.87923,0.41577,0.24744,1.10437,3.0897,1.53854,0.000560022,0.000560022,0.000560022
9,6.08136,1.04062,1.96331,1.30098,0.00995,0.90097,0.40187,0.22943,1.16424,3.09585,1.56196,0.000617297,0.000617297,0.000617297
10,6.74945,1.03697,1.81623,1.24375,0.00974,0.90097,0.33057,0.18607,1.33414,3.0769,1.72781,0.000671271,0.000671271,0.000671271
11,7.4284,1.02678,1.73807,1.24671,0.6854,0.20519,0.2722,0.13501,1.4793,3.12408,1.88673,0.000721944,0.000721944,0.000721944
12,8.07629,1.01168,1.59774,1.21968,0.79825,0.04348,0.26301,0.11386,1.46346,3.04005,1.84628,0.000769317,0.000769317,0.000769317
13,8.71021,1.01534,1.64176,1.2724,0.78528,0.06522,0.25208,0.12243,1.59514,3.07863,2.03376,0.000813389,0.000813389,0.000813389
14,9.35412,1.03369,1.52322,1.27559,0.78528,0.06522,0.25208,0.12243,1.59514,3.07863,2.03376,0.000854161,0.000854161,0.000854161
15,10.0366,1.02865,1.51566,1.25561,0.61199,0.14251,0.22431,0.09293,1.68323,3.02583,2.25773,0.000891632,0.000891632,0.000891632
16,10.7422,0.92693,1.49063,1.26798,0.43579,0.22954,0.2729,0.11998,1.54453,2.82227,2.12294,0.000925802,0.000925802,0.000925802
17,11.4513,1.03623,1.44153,1.29267,0.214,0.17391,0.24027,0.11751,1.5171,2.86443,2.06881,0.000956671,0.000956671,0.000956671
18,12.1467,1.03978,1.45104,1.28658,0.214,0.17391,0.24027,0.11751,1.5171,2.86443,2.06881,0.00098424,0.00098424,0.00098424
19,12.863,0.87339,1.34344,1.1464,0.88738,0.19565,0.25943,0.10951,1.74701,2.84435,2.29194,0.00100851,0.00100851,0.00100851
20,13.5915,0.96341,1.36332,1.21006,0.86331,0.1734,0.26113,0.09588,1.82738,2.9115,2.35563,0.00102948,0.00102948,0.00102948
21,14.2385,0.93757,1.32637,1.22165,0.86331,0.1734,0.26113,0.09588,1.82738,2.9115,2.35563,0.00100687,0.00100687,0.00100687
22,14.8778,0.86719,1.2821,1.15815,0.75703,0.20726,0.29033,0.10434,1.78194,2.83873,2.27629,0.000973861,0.000973861,0.000973861
