epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.989967,1.18481,2.96247,1.33018,0.01227,0.91892,0.12869,0.09343,0.80592,3.06585,1.13873,6.668e-05,6.668e-05,6.668e-05
2,1.59535,1.18211,2.94321,1.36287,0.01363,0.91892,0.22386,0.1681,0.79915,3.06407,1.15548,0.000147059,0.000147059,0.000147059
3,2.17461,1.07735,2.79049,1.29726,0.01335,0.79392,0.34048,0.22878,0.76526,3.06404,1.13053,0.000224138,0.000224138,0.000224138
4,2.77136,1.14094,2.74279,1.25893,0.01222,0.80743,0.33258,0.27452,0.87239,3.07863,1.20773,0.000297916,0.000297916,0.000297916
5,3.33432,1.08825,2.40471,1.22622,0.01207,0.80743,0.34616,0.24419,1.01604,3.09382,1.30269,0.000368394,0.000368394,0.000368394
6,3.88136,1.08264,2.34235,1.25421,0.01167,0.80743,0.33909,0.24516,1.10364,3.09959,1.36558,0.00043557,0.00043557,0.00043557
7,4.46097,1.11129,2.23025,1.34776,0.01053,0.65541,0.22624,0.15838,1.20224,3.03931,1.4433,0.000499447,0.000499447,0.000499447
8,5.04395,1.13242,2.06025,1.2653,0.01086,0.76689,0.21355,0.13679,1.24903,3.00257,1.51185,0.000560022,0.000560022,0.000560022
9,5.59755,1.19695,2.0846,1.36277,0.01065,0.86486,0.1971,0.12342,1.37988,3.01321,1.62062,0.000617297,0.000617297,0.000617297
10,6.192,1.20422,1.97279,1.37005,0.80017,0.09459,0.17223,0.10336,1.62775,3.05836,1.81625,0.000671271,0.000671271,0.000671271
11,6.77552,1.15978,1.75956,1.34615,0.88992,0.04861,0.18809,0.11256,1.63243,2.91792,1.8327,0.000721944,0.000721944,0.000721944
12,7.38852,1.14978,1.62683,1.28141,0.94716,0.08108,0.18395,0.11453,1.68668,2.89976,1.86598,0.000769317,0.000769317,0.000769317
13,7.96728,1.22348,1.73791,1.36772,0.95451,0.08108,0.19707,0.10144,1.80543,2.97955,2.05126,0.000813389,0.000813389,0.000813389
14,8.53205,1.16175,1.59695,1.34329,0.95451,0.08108,0.19707,0.10144,1.80543,2.97955,2.05126,0.000854161,0.000854161,0.000854161
15,9.12924,1.07465,1.55684,1.26914,0.82958,0.09459,0.18049,0.10437,1.83413,3.03907,2.10615,0.000891632,0.000891632,0.000891632
16,9.72349,1.09972,1.55518,1.31463,0.81949,0.14865,0.16678,0.0995,1.80062,3.02211,2.12334,0.000925802,0.000925802,0.000925802
17,10.3024,1.09966,1.54118,1.32982,0.71146,0.16216,0.16286,0.1025,1.79173,3.04524,2.13136,0.000956671,0.000956671,0.000956671
18,10.8759,1.14413,1.56138,1.31763,0.71146,0.16216,0.16286,0.1025,1.79173,3.04524,2.13136,0.00098424,0.00098424,0.00098424
19,11.4734,1.06918,1.34691,1.25363,0.74423,0.14865,0.1621,0.07738,1.89185,2.99107,2.23641,0.00100851,0.00100851,0.00100851
20,12.0892,1.10457,1.48758,1.27071,0.74382,0.12162,0.13909,0.07242,1.80321,3.04991,2.12613,0.00102948,0.00102948,0.00102948
